GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM951895,HSF1,BT-20;Epithelium;Mammary Gland,1983,1,0.0005042864346949068
GSM1059392,EP300,MCF-7;Epithelium;Breast,1990,1,0.0005025125628140704
GSM1240836,NIPBL,GP5d;Colon,2002,1,0.0004995004995004995
ENCSR888XZK_2,TCF7L2,K562;Erythroblast;Bone Marrow,2023,1,0.0004943153732081067
GSM935440,BHLHE40,A549;Epithelium;Lung,4094,2,0.0004885197850512946
GSM468180,PML,NB4;Promyelocytic cell;Blood,2049,1,0.0004880429477794046
GSM2218766,POLR2A,Jurkat;T Lymphocyte;Blood,2085,1,0.00047961630695443646
GSM2026884,KLF15,HEK293;Epithelium;Embryonic Kidney,2101,1,0.00047596382674916705
GSM1842720,BRD4,T47D,2115,1,0.00047281323877068556
GSM922790,ORC1,HeLa-S3;Epithelium;Cervix,2142,1,0.00046685340802987864
GSM1208593,BARX2,LoVo;Colon,2153,1,0.00046446818392940084
GSM1469989,RARA,MCF-7;Epithelium;Breast,2216,1,0.0004512635379061372
GSM1097879,ERG,Haematopoietic Progenitor Cell;Blood,2250,1,0.00044444444444444447
ENCSR081WLS_2,RAD51,HepG2;Epithelium;Liver,2282,1,0.00043821209465381246
GSM2026779,ZNF76,HEK293;Epithelium;Embryonic Kidney,4594,2,0.00043535045711797995
GSM1239489,ARNTL,LoVo;Colon,2368,1,0.0004222972972972973
GSM2026867,ZNF350,HEK293;Epithelium;Embryonic Kidney,2396,1,0.00041736227045075126
ENCSR940MHE_1,MBD2,MCF-7;Epithelium;Breast,4803,2,0.00041640641265875496
GSM935296,CHD1,H1;Embryonic Stem Cell;Embryo,2429,1,0.0004116920543433512
ENCSR360JOC_1,CHD1,MCF-7;Epithelium;Breast,2527,1,0.0003957261574990107
GSM935391,ATF3,K562;Erythroblast;Bone Marrow,2529,1,0.00039541320680110717
GSM1464021,FOXM1,HEK293;Epithelium;Embryonic Kidney,2544,1,0.00039308176100628933
GSM1599964,MYC,Fibroblast;Foreskin,2575,1,0.0003883495145631068
GSM1208777,NFYA,LoVo;Colon,2594,1,0.00038550501156515033
GSM1679124,MED1,LNCaP-abl ;Epithelium;Prostate,2606,1,0.0003837298541826554
GSM935651,IRF3,GM12878;B Lymphocyte;Blood,2627,1,0.00038066235249333843
GSM1126875,NR2C2,WI-38;Fibroblast;Lung,2670,1,0.0003745318352059925
GSM468181,RXRA,NB4;Promyelocytic cell;Blood,2697,1,0.0003707823507601038
GSM1208641,KLF3,LoVo;Colon,2728,1,0.00036656891495601173
GSM951897,HSF1,Epithelium;Mammary Gland,2736,1,0.0003654970760233918
GSM2301916,MYC,IMEC;Epithelium;Breast,2772,1,0.00036075036075036075
GSM1208789,RBCK1,LoVo;Colon,2791,1,0.00035829451809387314
ENCSR197DJH_1,SREBF1,MCF-7;Epithelium;Breast,2800,1,0.00035714285714285714
GSM1872292,POLR2A,HEK293;Epithelium;Embryonic Kidney,5761,2,0.0003471619510501649
GSM2574811,DPF1,MCF-7,5913,2,0.00033823778116015557
GSM1622619,SUMO2,K562;Erythroblast;Bone Marrow,2987,1,0.00033478406427854036
GSM1259354,FOXM1,HeLa;Epithelium;Cervix,2992,1,0.00033422459893048126
GSM1464011,FOXM1,HEK293;Epithelium;Embryonic Kidney,3018,1,0.0003313452617627568
GSM2113532,MYCN,SHEP-21N;Neuroblastoma cell;Bone Marrow,3038,1,0.0003291639236339697
GSM951865,HSF1,MCF-10A;Epithelium;Breast,3048,1,0.00032808398950131233
GSM599837,E2F4,Adipocyte;Adipose,6148,2,0.00032530904359141186
GSM803383,SIX5,K562;Erythroblast;Bone Marrow,3112,1,0.00032133676092544985
ENCSR635GTR_1,TEAD2,K562;Erythroblast;Bone Marrow,3173,1,0.0003151591553734636
GSM748533,MYC,HeLa;Epithelium;Cervix,3221,1,0.0003104625892579944
GSM894109,MED1,MM1.S;B Lymphocyte;Blood,3237,1,0.00030892801977139327
GSM2466587,ZNF547,293T,3252,1,0.0003075030750307503
GSM1208807,VEZF1,LoVo;Colon,3253,1,0.0003074085459575776
GSM1010776,SP2,H1;Embryonic Stem Cell;Embryo,3257,1,0.00030703101013202335
GSM1816085,NFE2,Hematopoietic stem and progenitor cell;Fetal Liver,3285,1,0.00030441400304414006
GSM1875146,LEF1,RL95-2;Uterus,3324,1,0.00030084235860409147
GSM1464017,FOXM1,HEK293;Epithelium;Embryonic Kidney,3326,1,0.0003006614552014432
GSM2797091,ESR1,Breast,3331,1,0.0003002101471029721
GSM476650,ZNF263,K562;Erythroblast;Bone Marrow,3334,1,0.00029994001199760045
ENCSR737UST_1,ZNF740,K562;Erythroblast;Bone Marrow,6695,2,0.0002987303958177745
GSM1462478,NRF1,T47D;Epithelium;Mammary Gland,6740,2,0.0002967359050445104
GSM2046835,E2F1,Mesenchymal Stem Cell;Umbilical Cord,3388,1,0.00029515938606847696
GSM2419820,RELA,Detroit 562;Detroit 562 cells,3407,1,0.000293513354857646
GSM2301921,MYC,RPM-MC;Epithelium,3427,1,0.0002918004085205719
GSM935506,NFYA,GM12878;B Lymphocyte;Blood,3437,1,0.0002909514111143439
GSM1567047,MITF,6540 cells;Epithelium,3463,1,0.00028876696505919725
GSM1872290,POLR2A,HEK293;Epithelium;Embryonic Kidney,3475,1,0.00028776978417266187
GSM2265668,H3.3,HCT-116;Colon cancer cell;Colon,3475,1,0.00028776978417266187
GSM476651,ZNF263,K562;Erythroblast;Bone Marrow,3501,1,0.00028563267637817766
GSM717402,HDAC3,VCaP;Epithelium;Prostate,3551,1,0.000281610813855252
GSM1239502,GMEB2,LoVo;Colon,3558,1,0.0002810567734682406
GSM762708,MYC,CA46;B Lymphocyte,3582,1,0.00027917364600781687
GSM1278242,GFI1B,Proerythroblast;Bone Marrow,3587,1,0.00027878449958182325
GSM1522565,KLF9,GBM1B;Glioblastoma Stem Cell,3592,1,0.00027839643652561246
GSM2026886,KLF15,HEK293;Epithelium;Embryonic Kidney,7218,2,0.0002770850651149903
GSM1469990,RARG,MCF-7;Epithelium;Breast,3613,1,0.0002767783005812344
GSM671400,STAT5A,Lymphocyte;Blood,3618,1,0.0002763957987838585
GSM1669136,ESR1,MCF-7;Epithelium;Breast,3655,1,0.00027359781121751026
GSM1239544,ZBTB10,LoVo;Colon,3665,1,0.00027285129604365623
GSM2247494,BCL11B,Thymus,3698,1,0.00027041644131963225
GSM1227208,STAT3,SU-DHL10;B Lymphocyte,3711,1,0.00026946914578280785
ENCSR171FUX_1,FOXK2,HepG2;Epithelium;Liver,3749,1,0.00026673779674579886
GSM2026741,ZNF320,HEK293;Epithelium;Embryonic Kidney,3753,1,0.0002664535038635758
ENCSR737UST_2,ZNF740,K562;Erythroblast;Bone Marrow,3777,1,0.00026476039184537993
GSM1464022,FOXM1,HEK293;Epithelium;Embryonic Kidney,3808,1,0.0002626050420168067
ENCSR523XCR_1,RNF2,HepG2;Epithelium;Liver,3873,1,0.0002581977794990963
GSM2574812,NRF1,MCF-7,11668,3,0.0002571134727459719
GSM1003514,EP300,Osteoblast;Bone,3937,1,0.000254000508001016
GSM2247490,BCL11B,Thymus,3967,1,0.00025207965717166626
GSM1208626,GMEB2,LoVo;Colon,7978,2,0.000250689395838556
GSM2029587,KDM5C,ZR-75-30,4004,1,0.00024975024975024975
GSM2466529,ZNF320,293T,4041,1,0.00024746349913387774
GSM935570,IRF3,HeLa-S3;Epithelium;Cervix,4053,1,0.0002467308166790032
GSM922798,BRDU,HeLa-S3;Epithelium;Cervix,4062,1,0.0002461841457410143
GSM325935,POLR2A,NB4;Promyelocytic cell;Blood,12232,3,0.00024525833878351864
GSM566156,CCDC101,HeLa;Epithelium;Cervix,4115,1,0.00024301336573511544
GSM1505653,GATA4,HUES64;Embryonic Stem Cell;Embryo,4143,1,0.0002413709872073377
GSM763406,NCOR2,OCI-Ly1;B cell lymphoma;Bone Marrow,8388,2,0.0002384358607534573
GSM1544539,FOXP1,OCI-Ly10;B Lymphocyte;Bone Marrow,4196,1,0.00023832221163012392
GSM1934425,POU3F2,Neural Progenitor Cell,4206,1,0.00023775558725630053
GSM1019136,RXRA,MCF-7;Epithelium;Breast,4217,1,0.00023713540431586437
ENCSR159OCC_1,ATF1,K562;Erythroblast;Bone Marrow,4226,1,0.000236630383341221
GSM2465110,POLR2A,HeLa;Adherent HeLa cells,4282,1,0.00023353573096683791
GSM1265867,POLR2A,TIVE-LTC;T Lymphocyte;Blood,4296,1,0.00023277467411545624
GSM1524325,TEAD1,CClp1,4309,1,0.00023207240659085636
GSM935356,USF2,K562;Erythroblast;Bone Marrow,4330,1,0.00023094688221709007
GSM1231605,POLR2A,U2OS;Bone,4332,1,0.00023084025854108956
GSM1517552,EP300,SK-N-MC;Brain,4368,1,0.00022893772893772894
GSM1247829,BRD3,MM1.S;B Lymphocyte;Blood,8790,2,0.00022753128555176336
GSM748541,MYC,HepG2;Epithelium;Liver,4424,1,0.0002260397830018083
GSM2040037,MED1,A549;Epithelium;Lung,4455,1,0.0002244668911335578
ENCSR145XQO_2,HDGF,GM12878;B Lymphocyte;Blood,4541,1,0.00022021581149526536
GSM935409,FOS,GM12878;B Lymphocyte;Blood,4559,1,0.00021934634788330776
GSM2439179,FGFR1,iPSC,9120,2,0.0002192982456140351
GSM1247830,BRD3,MM1.S;B Lymphocyte;Blood,9162,2,0.00021829294913774285
ENCSR360JOC_2,CHD1,MCF-7;Epithelium;Breast,4597,1,0.00021753317380900588
GSM697625,SETDB1,WM262;Melanocyte;Skin,4599,1,0.00021743857360295715
GSM2371453,VDR,THP-1;Monocyte;Blood,4606,1,0.00021710811984368216
GSM766172,POLR2A,HeLa;Epithelium;Cervix,4647,1,0.00021519259737465033
ENCSR125ZYC_1,KLF9,MCF-7;Epithelium;Breast,4648,1,0.0002151462994836489
GSM748542,MYC,HepG2;Epithelium;Liver,9310,2,0.00021482277121374866
GSM803378,SIX5,K562;Erythroblast;Bone Marrow,4672,1,0.00021404109589041095
ENCSR159OCC_2,ATF1,K562;Erythroblast;Bone Marrow,4684,1,0.0002134927412467976
GSM935366,E2F1,HeLa-S3;Epithelium;Cervix,14313,3,0.00020959966464053657
GSM803405,SIX5,H1;Embryonic Stem Cell;Embryo,4776,1,0.00020938023450586265
GSM497493,RB1,IMR90;Fibroblast;Lung,4806,1,0.00020807324178110696
GSM1358401,AR,Prostate,9612,2,0.00020807324178110696
GSM1622617,SUMO2,K562;Erythroblast;Bone Marrow,4816,1,0.00020764119601328904
GSM1239478,NFYA,LoVo;Colon,4828,1,0.00020712510356255177
GSM748535,POLR2A,HeLa;Epithelium;Cervix,19336,4,0.0002068680182043856
GSM714811,NR2F1,Neural crest cell;Cranial,4857,1,0.00020588840848260242
GSM1468306,MYC,P493-6;B cell lymphoma,9773,2,0.00020464545175483476
GSM1405117,POLR2A,HeLa;Epithelium;Cervix,4892,1,0.0002044153720359771
GSM2877306,RXRA,JMSU-1;cancer cells,4939,1,0.00020247013565499088
GSM959632,NCOR1,LS180;Epithelium;Colon,4940,1,0.00020242914979757084
GSM2495985,SMARCA4,G-401;Malignant rhabdoid tumor,4955,1,0.00020181634712411706
GSM468182,RARA,NB4;Promyelocytic cell;Blood,9917,2,0.00020167389331451045
GSM894088,POLR2A,P493-6;B cell lymphoma,5002,1,0.00019992003198720512
GSM951894,HSF1,BT-20;Epithelium;Mammary Gland,5005,1,0.0001998001998001998
GSM1961563,AFF4,Th1,15038,3,0.00019949461364543157
GSM1863026,H3K9ac,T98G;Glioblastoma cell,10027,2,0.0001994614540740002
GSM935301,CHD1,GM12878;B Lymphocyte;Blood,5023,1,0.00019908421262193908
GSM1122307,POLR2A,ME-1;Leukemia Cell,15118,3,0.00019843894695065485
GSM762709,MYC,B Lymphocyte;Blood,5094,1,0.00019630938358853554
GSM2046832,E2F1,Mesenchymal Stem Cell;Umbilical Cord,5105,1,0.0001958863858961802
GSM486462,POLR2A,GM19099;Lymphoblastoid;Blood,20625,4,0.00019393939393939395
GSM1976292,E2F1,Raji;B Lymphocyte;Blood,5166,1,0.00019357336430507162
GSM749524,EP300,NB4;Promyelocytic cell;Blood,15567,3,0.0001927153594141453
GSM2082059,MYC,IMR-5,15587,3,0.00019246808237633926
GSM935646,USF2,HepG2;Epithelium;Liver,10406,2,0.00019219680953296174
ENCSR076EZB_1,KLF9,HEK293;Epithelium;Embryonic Kidney,10414,2,0.00019204916458613405
ENCSR175SZH_1,ZSCAN29,K562;Erythroblast;Bone Marrow,5216,1,0.00019171779141104295
GSM1661547,SP1,A375;Melanoma Cell,5268,1,0.00018982536066818528
ENCSR171FUX_2,FOXK2,HepG2;Epithelium;Liver,5315,1,0.00018814675446848542
GSM497492,RBL2,IMR90;Fibroblast;Lung,5336,1,0.0001874062968515742
GSM1122308,TBP,ME-1;Leukemia Cell,10704,2,0.0001868460388639761
GSM831006,EP300,K562;Erythroblast;Bone Marrow,5353,1,0.00018681113394358303
GSM1084801,BCL6,OCI-Ly7;B cell lymphoma;Blood,10743,2,0.00018616773713115518
GSM1388125,MBD2,MCF-7;Epithelium;Breast,16121,3,0.00018609267415172756
GSM984382,AR,C4-2B;Epithelium;Prostate,5394,1,0.0001853911753800519
GSM365931,POLR2A,MCF-7;Epithelium;Breast,5404,1,0.0001850481125092524
ENCSR523XCR_2,RNF2,HepG2;Epithelium;Liver,5412,1,0.00018477457501847746
GSM935308,NRF1,H1;Embryonic Stem Cell;Embryo,5445,1,0.00018365472910927456
GSM1872291,POLR2A,HEK293;Epithelium;Embryonic Kidney,10900,2,0.0001834862385321101
GSM1056936,FOXP3,T Lymphocyte;Blood,5465,1,0.00018298261665141812
GSM2574813,NRF1,MCF-7,5471,1,0.00018278194114421494
GSM1003617,SREBF1,GM12878;B Lymphocyte;Blood,5487,1,0.00018224895206852561
ENCSR304IVU_1,POLR2A,Breast,11055,2,0.00018091361374943465
GSM1208730,E2F7,LoVo;Colon,5530,1,0.00018083182640144665
GSM1527706,POLR2A,Th1,16766,3,0.00017893355600620304
GSM894059,MYC,P493-6;B cell lymphoma,5610,1,0.00017825311942959
GSM2144896,POLR2A,Nalm6;Leukemia Cell,5618,1,0.000177999288002848
GSM1036404,MYC,P493-6;B cell lymphoma,11255,2,0.00017769880053309641
GSM803408,THAP1,K562;Erythroblast;Bone Marrow,11317,2,0.00017672528055138288
GSM1249893,POLR2A,HEK293T;Epithelium;Embryonic Kidney,16980,3,0.00017667844522968197
