GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM1505769,SP1,HUES64;Embryonic Stem Cell;Embryo,3636,1,0.000275027502750275
GSM785504,EGR2,Macrophage,3709,1,0.00026961445133459155
ENCSR402XII_2,CSDE1,K562;Erythroblast;Bone Marrow,3742,1,0.0002672367717797969
GSM959627,CREBBP,LS180;Epithelium;Colon,3744,1,0.0002670940170940171
ENCSR909HMT_2,ZEB1,HEK293;Epithelium;Embryonic Kidney,3756,1,0.00026624068157614486
GSM1499404,ASCL1,NCI-H2107;Epithelium;Lung,3760,1,0.00026595744680851064
GSM608160,NR2C2,HeLa-S3;Epithelium;Cervix,3798,1,0.0002632964718272775
GSM2277159,AR,22RV1;Epithelium;Prostate,3857,1,0.00025926886180969663
GSM1003514,EP300,Osteoblast;Bone,3937,1,0.000254000508001016
GSM935565,RFX5,K562;Erythroblast;Bone Marrow,3981,1,0.00025119316754584274
GSM1820917,BRD4,TC-797,3987,1,0.00025081514923501377
GSM2738063,ZIC2,B cell lymphoma;Peritoneal Effusion,4031,1,0.00024807740014884643
GSM1643954,ESR1,MCF-7;Breast,4052,1,0.00024679170779861795
GSM935440,BHLHE40,A549;Epithelium;Lung,4094,1,0.0002442598925256473
GSM2026865,ZNF436,HEK293;Epithelium;Embryonic Kidney,4100,1,0.00024390243902439024
GSM1948649,POLR2A,IMEC;Epithelium;Breast,4104,1,0.00024366471734892786
ENCSR909HMT_1,ZEB1,HEK293;Epithelium;Embryonic Kidney,4104,1,0.00024366471734892786
GSM560342,SMC1A,V6.5;Embryonic Stem Cell,4135,1,0.0002418379685610641
GSM935382,RFX5,H1;Embryonic Stem Cell;Embryo,4159,1,0.00024044241404183698
GSM1968287,POLR2A,SKMEL5;melanoma,4162,1,0.0002402691013935608
GSM1242269,MYC,LoVo;Colon,4176,1,0.00023946360153256704
GSM1700638,ASCL1,NCI-H2107,16732,4,0.0002390628735357399
GSM1377693,YAP1,OVCAR5;ovarian,4219,1,0.00023702299123014932
ENCSR159OCC_1,ATF1,K562;Erythroblast;Bone Marrow,4226,1,0.000236630383341221
GSM785503,EGR2,Macrophage,4356,1,0.0002295684113865932
GSM1207905,E2F1,LNCaP;Epithelium;Prostate,8904,2,0.00022461814914645105
GSM1250891,KLF5,YCC3;Epithelium,4501,1,0.00022217285047767163
GSM935596,NR2C2,HepG2;Epithelium;Liver,4508,1,0.00022182786157941438
ENCSR145XQO_2,HDGF,GM12878;B Lymphocyte;Blood,4541,1,0.00022021581149526536
ENCSR360JOC_2,CHD1,MCF-7;Epithelium;Breast,4597,1,0.00021753317380900588
ENCSR159OCC_2,ATF1,K562;Erythroblast;Bone Marrow,4684,1,0.0002134927412467976
GSM1405093,ELL2,HeLa;Epithelium;Cervix,4734,1,0.00021123785382340515
GSM1539059,GTF2I,Fibroblast,4815,1,0.00020768431983385254
GSM1239478,NFYA,LoVo;Colon,4828,1,0.00020712510356255177
GSM748516,FAIRE,Epithelium;Cervix,4914,1,0.0002035002035002035
ENCSR145XQO_1,HDGF,GM12878;B Lymphocyte;Blood,4916,1,0.0002034174125305126
ENCSR090JNM_1,HLTF,K562;Erythroblast;Bone Marrow,4917,1,0.0002033760423022168
ENCSR107GRP_1,MLLT1,K562;Erythroblast;Bone Marrow,9941,2,0.00020118700331958554
GSM1003518,EZH2,Endothelial Cell;Umbilical Vein,4986,1,0.00020056157240272763
GSM1162749,ZC3H8,HCT-116;Colon,5016,1,0.00019936204146730463
GSM2895354,H2AZ,K562;Erythroblast;Bone Marrow,5207,1,0.00019204916458613405
GSM2359438,BRD4,A375;melanoma;Skin,5219,1,0.00019160758766047136
GSM1661547,SP1,A375;Melanoma Cell,5268,1,0.00018982536066818528
GSM1207917,E2F1,LNCaP;Epithelium;Prostate,5291,1,0.000189000189000189
GSM1499403,ASCL1,NCI-H2107;Epithelium;Lung,15997,3,0.00018753516284303307
ENCSR005NMT_1,ID3,K562;Erythroblast;Bone Marrow,5333,1,0.00018751171948246765
GSM1981416,H2AZ,LNCaP;Epithelium;Prostate,5357,1,0.00018667164457718873
GSM1207910,E2F1,LNCaP;Epithelium;Prostate,10727,2,0.0001864454181038501
GSM935369,NR2C2,HeLa-S3;Epithelium;Cervix,5377,1,0.0001859773107680863
ENCSR675LRO_1,MLLT1,K562;Erythroblast;Bone Marrow,5423,1,0.00018439977872026554
GSM1008619,MYC,H128;Epithelium;Lung,5443,1,0.00018372221201543268
ENCSR093FKD_1,CREB3,K562;Erythroblast;Bone Marrow,5515,1,0.00018132366273798732
GSM935501,GTF2F1,K562;Erythroblast;Bone Marrow,5569,1,0.0001795654516071108
GSM2545828,TCF4,SH-SY5Y;Neuroblastoma cell,5595,1,0.00017873100983020553
GSM1607392,DNMT3A,Keratinocyte;Foreskin,5667,1,0.0001764602082230457
GSM2545830,TCF4,SH-SY5Y;Neuroblastoma cell,5719,1,0.00017485574401119076
GSM1907203,MYC,LNCaP;Epithelium;Prostate,5722,1,0.00017476406850751484
GSM1469985,RARG,MCF-7;Epithelium;Breast,5751,1,0.0001738828029907842
ENCSR863KUB_1,TCF7,K562;Erythroblast;Bone Marrow,5765,1,0.00017346053772766696
GSM2026804,KLF1,HEK293;Epithelium;Embryonic Kidney,17494,3,0.0001714873670972905
GSM1208657,NFAT5,LoVo;Colon,5861,1,0.00017061934823408976
GSM2359443,BRD4,H3122;Lung,5878,1,0.0001701258931609391
GSM1031241,REST,Bone Marrow,5959,1,0.0001678133915086424
GSM1010828,USF1,A549;Epithelium;Lung,11920,2,0.00016778523489932885
GSM1207913,E2F1,LNCaP;Epithelium;Prostate,11965,2,0.0001671541997492687
ENCSR859BMR_2,KLF1,HEK293;Epithelium;Embryonic Kidney,18061,3,0.00016610375948175626
GSM935484,E2F1,HeLa-S3;Epithelium;Cervix,12073,2,0.00016565890830779425
GSM935614,JUN,H1;Embryonic Stem Cell;Embryo,6071,1,0.00016471750947125678
ENCSR707QWA_2,NR2F6,K562;Erythroblast;Bone Marrow,12161,2,0.00016446015952635475
GSM2702720,H2AZ,HCT-116;Colon,12249,2,0.0001632786349906115
GSM822273,POLR2A,HeLa-S3;Epithelium;Cervix,18447,3,0.0001626280696048138
GSM1122304,MYH11,ME-1;Leukemia Cell,18476,3,0.00016237280796709244
GSM2042843,NR1H2,HT29;colorectal adenocarcinoma,12640,2,0.00015822784810126583
GSM1566565,RELA,KB Cell;Epithelium;HeLa contaminant,12641,2,0.00015821533106558027
GSM1846892,KMT2D,Patient derived xenograft cells,6343,1,0.00015765410688948448
ENCSR707IUN_2,NFE2L2,HeLa-S3;Epithelium;Cervix,6357,1,0.00015730690577316344
ENCSR065XVO_1,CHAMP1,K562;Erythroblast;Bone Marrow,6360,1,0.00015723270440251572
GSM1469991,RARG,MCF-7;Epithelium;Breast,6377,1,0.00015681354869060687
GSM748535,POLR2A,HeLa;Epithelium;Cervix,19336,3,0.0001551510136532892
ENCSR715QNO_1,ZNF362,HEK293;Epithelium;Embryonic Kidney,12989,2,0.00015397644160443453
ENCSR005NMT_2,ID3,K562;Erythroblast;Bone Marrow,6497,1,0.00015391719255040788
GSM2466551,ZNF425,293T,6524,1,0.00015328019619865113
GSM1328974,BRD3,VCaP;Epithelium;Prostate,6573,1,0.00015213753232922562
GSM2026901,KLF12,HEK293;Epithelium;Embryonic Kidney,6595,1,0.00015163002274450342
ENCSR882ERE_2,ZKSCAN1,K562;Erythroblast;Bone Marrow,13264,2,0.00015078407720144752
ENCSR093FKD_2,CREB3,K562;Erythroblast;Bone Marrow,6682,1,0.000149655791679138
ENCSR737UST_1,ZNF740,K562;Erythroblast;Bone Marrow,6695,1,0.00014936519790888724
GSM935414,NFE2,K562;Erythroblast;Bone Marrow,6705,1,0.00014914243102162565
ENCSR541PDV_1,ZBTB33,HEK293;Epithelium;Embryonic Kidney,6732,1,0.00014854426619132502
GSM2466667,ZNF793,293T,6747,1,0.00014821402104639098
ENCSR033VAZ_1,TARDBP,K562;Erythroblast;Bone Marrow,6753,1,0.00014808233377758035
GSM1844440,KDM1A,SKNO-1;Myeloblast;Bone Marrow,6791,1,0.00014725371815638345
GSM1637309,NR3C1,Nalm6;B cell precursor;Blood,6869,1,0.00014558159848595138
GSM897118,SMAD3,BG03;Embryonic Stem Cell;Embryo,6888,1,0.00014518002322880372
ENCSR149ZBI_1,ZNF584,K562;Erythroblast;Bone Marrow,13865,2,0.000144248106743599
GSM935298,MAX,A549;Epithelium;Lung,13917,2,0.00014370913271538407
GSM1010720,CREB1,A549;Epithelium;Lung,7041,1,0.000142025280499929
GSM726984,ERG,K562;Erythroblast;Bone Marrow,14153,2,0.00014131279587366636
GSM1207898,E2F1,LNCaP;Epithelium;Prostate,14154,2,0.00014130281192595732
GSM1705247,MBTD1,K562;Lymphoblast,14173,2,0.00014111338460452973
GSM935366,E2F1,HeLa-S3;Epithelium;Cervix,14313,2,0.00013973310976035772
GSM935621,ESRRA,HepG2;Epithelium;Liver,7172,1,0.00013943112102621306
GSM1208642,KLF5,LoVo;Colon,14349,2,0.00013938253536831835
ENCSR446LAV_1,DDX20,K562;Erythroblast;Bone Marrow,7199,1,0.00013890818169190166
GSM1003615,RFX5,IMR90;Fibroblast;Lung,7235,1,0.00013821700069108501
GSM2228911,DNMT3A,Stem cell;Foreskin,7295,1,0.00013708019191226866
GSM1670711,POLR2A,HuCCT1,7300,1,0.000136986301369863
ENCSR359NFW_1,USF2,K562;Erythroblast;Bone Marrow,14613,2,0.0001368644357763635
GSM748519,FAIRE,HepG2;Epithelium;Liver,7320,1,0.0001366120218579235
GSM1207902,E2F1,LNCaP;Epithelium;Prostate,14892,2,0.00013430029546065002
GSM604649,NR3C1,HeLa;Epithelium;Cervix,7453,1,0.0001341741580571582
ENCSR338QAC_1,ELK1,K562;Erythroblast;Bone Marrow,14929,2,0.00013396744591064372
GSM1154504,MECP2,IMR90;Fibroblast;Lung,7488,1,0.00013354700854700856
ENCSR017GBO_1,TFDP1,K562;Erythroblast;Bone Marrow,7489,1,0.00013352917612498332
ENCSR502OEK_2,ELF1,K562;Erythroblast;Bone Marrow,7541,1,0.00013260840737302744
GSM1207914,E2F1,LNCaP;Epithelium;Prostate,15232,2,0.00013130252100840336
GSM1239630,ZNF83,LoVo;Colon,15238,2,0.000131250820317627
GSM983102,NKX2-1,NCI-H2087;Lung,7669,1,0.00013039509714434736
GSM1207909,E2F1,LNCaP;Epithelium;Prostate,7676,1,0.00013027618551328816
GSM1207890,E2F1,LNCaP;Epithelium;Prostate,15380,2,0.00013003901170351105
ENCSR446LAV_2,DDX20,K562;Erythroblast;Bone Marrow,7705,1,0.00012978585334198572
ENCSR066TET_2,RFX1,MCF-7;Epithelium;Breast,15424,2,0.00012966804979253112
GSM1517567,WDR5,A673;Polygonal;Muscle,15526,2,0.0001288161793121216
GSM935539,MAX,K562;Erythroblast;Bone Marrow,15529,2,0.0001287912937085453
GSM2277158,AR,22RV1;Epithelium;Prostate,7792,1,0.00012833675564681725
GSM1405407,NR3C1,Monocyte,7794,1,0.00012830382345393893
GSM1670874,NELFA,HeLa;Epithelium;Cervix,7800,1,0.0001282051282051282
GSM2702723,H2AZ,HCT-116;Colon,7854,1,0.00012732365673542143
GSM2042860,PPARG,HT29;colorectal adenocarcinoma,15741,2,0.00012705673083031574
GSM2065885,MYC,HCT-116;Colon cancer cell;Colon,7911,1,0.00012640626975097966
ENCSR541PDV_2,ZBTB33,HEK293;Epithelium;Embryonic Kidney,7934,1,0.00012603982858583313
GSM2574784,USF2,HepG2;Epithelium;Liver,23853,3,0.00012577034335303736
GSM1647363,CTCF,K562;Erythroblast;Bone Marrow,8003,1,0.00012495314257153568
GSM2572349,MYCN,T.T,8020,1,0.00012468827930174563
ENCSR931HNY_2,NCOA1,K562;Erythroblast;Bone Marrow,8031,1,0.00012451749470800648
GSM2466476,ZNF133,293T,8031,1,0.00012451749470800648
ENCSR257XVY_1,ZNF83,K562;Erythroblast;Bone Marrow,8034,1,0.00012447099825740602
GSM1207894,E2F1,LNCaP;Epithelium;Prostate,16149,2,0.00012384667781286768
